,title,links,song_lyric
0,Horsehead,https://www.lyrics.com/lyric/36566183/DIIV/Horsehead,"I've seen the middle of
Five foot airtight walls and
I've told the setting sun a joke
You laughed his head right off

Horsehead
It's never quite enough
I wanna breathe in
And never breathe back out
Horsehead
I'm never quite enough
I wanna breathe in
And never breathe back out

(?)

I sat in a slump so my shadow
Sat slumped too
Then I laid among the rocks and stones
F*ck it all

Horsehead
It's never quite enough
I wanna breathe in
And never breathe back out
Horsehead
I'm never quite enough
I wanna breathe in
And never breathe back out

Wake up, throw it all away
Nothing's changed, nothing changes
Wake up, throw it all away
Everything is nothing anyway

We're each the rotten squall
At the center of it all
We're each the rotten squall
At the center of it all
We're each"
1,Like Before You Were Born,https://www.lyrics.com/lyric/36566182/DIIV/Like+Before+You+Were+Born,"The wind fans deadpan
We plummet through the wake
Well, that's my last mistake
Birds land then
Stand and fly astray
They'd do that anyway

It's just
Like before you were born
Through that peaceful moment
Like before you were born
Like before you were born
Like before you were born

I'm an old man
I tell the same old sun
""I get it, I've done it, I'm done""
Cars breeze past
Winding through the calm
I guess their lives go on

It's just
Like before you were born
Through that peaceful moment
Like before you were born
Like before you were born
Like before you were born"
2,Skin Game,https://www.lyrics.com/lyric/36566181/DIIV/Skin+Game,"One afterthought on a skin game
I took it as prescribed
Vow do no harm, buy the cure
But first you'll buy the disease

I can see you've had some struggles lately
Hey man, I've had mine too

Fighting to get through the door
But I can't live like this anymore
They gave us wings to fly
But then they took away the sky

Well, what you want?
""Serve me""
Sell me to the spoon
I'm cashing in, falling out
Tear me down, hang me up
Strung out to please the king
In metropolitan's sackler wing
I can help you
It's how I help myself

I can see you've had some struggles lately
Hey man, I've had mine too

Fighting to get through the door
But I can't live like this anymore
They gave us wings to fly
But then they took away the sky

I wanna be your doll
But I won't be your dog anymore
You gave us wings to fly
But then you took away the sky

Sunken ceiling and a sideways grin
We live to use and we use to live
Crack a window
Get some life in you

Holding in coughs, hiding my head
Everybody respects the dead
I can help you
It's how I help myself

Sunken ceiling and a sideways grin
We live to use and we use to live
Crack a window
Get some life in me"
3,Between Tides,https://www.lyrics.com/lyric/36566180/DIIV/Between+Tides,"On and on, the clock was wrong
You've been numb so long
His words, they lapped an endless rote
It's gonna rain, build a boat

On masterstrokes of ebb and flow
Down the drain the current flows
All along the alpenglow
It seems my pain was self-imposed

I'm just waiting for the storm to die out, out
I'm just waiting for the storm to die out
I'm just waiting for the storm to die

On and on, in memory
You'll have my company
Mountain building, anodynes
Both in handfuls at a time

I asked the trees why they grow
They said, ""It's all we know""
I apologize to all I see
For everything I used to be

On and on, the clock was slow
Down the drain, we surely know
How to drink the oceans up
Better start with a cup

I'm just waiting for the storm to die out"
4,Taker,https://www.lyrics.com/lyric/36566179/DIIV/Taker,"You watched my lips make
The promise I betrayed
The years I lived in vain
Chasing the pain with pain

Stand down
There's oil in my name
My tongue flickers like a wilting flame

Lay it all out
The path of wreckage that I cut
All in want of what?
Who were you to believe?
Your lying eyes or me?
I won't let them tie to you
The shit I put you through

Stand down
Stand down
Stand down
Stand down

Stand down
There's oil in my name
My tongue flickers like a wilting flame

Lay it all out
The path of wreckage that I cut
All in want of what?

Stand down
Stand down
Stand down
Stand down"
5,For the Guilty,https://www.lyrics.com/lyric/36566178/DIIV/For+the+Guilty,"Love revenge
Love redemption
Rise and fall
Start and stall

Cash and prizes
You heard them say
Are for the guilty
And stay that way
But how are you today?

Curtained in with arms outspread
I was a stranger in our bed
Shut away and getting thin
I was a stranger in my skin
In my skin

Old friends
Consequences
Forgive yourself
Starting now

No matter how
Things may change
Don't turn away
You're present now
But the past is in your blood

(I've been)
Curtained in with arms outspread
I was a stranger in our bed
Shut away and getting thin
I was a stranger in my skin

Curtained in with arms outspread
I was a stranger in our bed
Shut away and getting thin
We were both strangers in our skin
In our skin"
6,Lorelei,https://www.lyrics.com/lyric/36566176/DIIV/Lorelei,"Dog-star, ram, and pomegranate
Fox swam and swans descant
Entranced in an awful dance
For Lorelei

For Lorelei

For Lorelei

Pine box or mantle top
Circe's humdrum song
Is pleading for help at my
Overcoat of clay

Forget my youthful sins
Lay waste to my transgressions
Scream that melody in vain
My Lorelei

My Lorelei"
7,Blankenship,https://www.lyrics.com/lyric/36566175/DIIV/Blankenship,"Armageddon is a product
And one we choose to buy
Dwell on that for a moment
With paradise on fire

I guess it's all the way
Blankenship 
Children lead the cry
You sold them all away
Blankenship 
With thirty years of lies
Ooh
Ooh

Who sold us the dominion
Over swine that smell their knife?
The vicious creature thin and dying
On a scrap of melting ice

The Earth is ownerless
Blankenship
Children lead the cry
You sold them all away
Blankenship
With thirty years of lies

I should have treated you better
Blankenship
The lives you weaponize
You sold them all away
Blankenship
With silver-plated eyes
Ooh
Ooh
Ooh

Think of your sons and daughters
Laid in ashen water
Sirens louder and louder
Destroy those who destroy the Earth

Ooh
Ooh"
8,Acheron,https://www.lyrics.com/lyric/36566174/DIIV/Acheron,"This heart-pounding day has finally arrived
All my living footfalls sigh like the night
Outside the war between illusion and truth
I found wisdom lain among putrid fruit
Of desperation, cold wild gift of youth
Urgent and dead-eyed
Urgent and dead-eyed

Hate the God
I don't believe in
Heaven's just a part of hell
Hate the one
Who wouldn't save us
Shikata ga nai

In the blue mist death has finally closed in
All my gasping words at war with the wind
Worshiping the fear of hell left me lost
I've found something for us souls who have crossed
Charon's torrent cold spiked black with frost
Ashen and dead-eyed
Ashen and dead-eyed

Hate the God
I don't believe in
Heaven's just a part of hell
Hate the one
Who wouldn't save us
Shikata ga nai

Nothing can be done
I'm no one

He's my blood
Reflected in mud
Leave my body
Among the poppies
I'm nailed to your flaws
You were my God"
9,Out of Mind,https://www.lyrics.com/lyric/32524600/DIIV/Out+of+Mind,"Yeah out of sight
And out of mind
But everything I should do
Just comes so easily to you

You had me first
Our shadow thirst
When roles reverse
My mind rewinds and I see you

I'm out of signs
At the end of the line
But I'll be fine
When it's time I'll know what to do

The world was mine
But I'm too blind
I'll stay behind
And choose which scrap to start anew

I'm out of sight
Out of mind
I'm out of sight
Out of mind"
