,title,links,song_lyric
0,Don't Let Me Go,https://www.lyrics.com/lyric/36566939/Cigarettes+After+Sex/Don%27t+Let+Me+Go,"When I was young, I thought the world of you
You were all that I wanted then
It faded and I never saw you again
But I won't forget the love we had

Come to me now
Don't let me go
Stay by my side
Don't let me go
Stay with me still
I've missed you so

When I was young, I thought the world of you
I was dumb to let you drift away
And though I guess it had to come to an end
No one else could have the love we shared

Come to me now
Don't let me go
Stay by my side
And my heart goes
Out to you
Wherever you are

Come to me now
Don't let me go
Stay by my side
Don't let me go
Stay with me still
I've missed you so"
1,Kiss It Off Me,https://www.lyrics.com/lyric/36566938/Cigarettes+After+Sex/Kiss+It+Off+Me,"Saw you on the side of the road
I could see you walkin' slow
Drinkin' a Slurpee
In a peach baseball cap
Fallin' in my lap
You were so thirsty

Could you love me instead
Of all the boyfriends you got?
Know I make you forget
About all of those rich fuckboys

Kiss it off me
If you're gonna break my heart
This is a good start
Kiss it off me

You always bite your lip
When you're feelin' it
As we move slowly
And your peach baseball cap
Is tossed under the rack
Of clothes and your jewelry

And you beg for it
In the morning again
Before you go to the gym 
Said it's a bad habit
You just can't quit

Kiss it off me
If you're gonna break my heart
This is a good start
Kiss it off me

Kiss it off me
If you're gonna break my heart
This is a good start
Kiss it off me
If you're gonna break my heart
This is a good start
Kiss it off me"
2,Heavenly,https://www.lyrics.com/lyric/36566937/Cigarettes+After+Sex/Heavenly,"Wanting your love to come into me
Feeling it slow, over this dream
Touch me with a kiss
Touch me with a kiss

Now you're above feeling it still
Tell me it's love, tell me it's real
Touch me with a kiss
Feel me on your lips

'Cause this is where I wanna be
Where it's so sweet and heavenly

I'm giving you all my
Giving you all my
Giving you all my love
Giving you all my
Giving you all my
Giving you all my love
All my love

Needing you now to come into me
Feeling it slow, over this dream
Touch me with a kiss
Feel me on your lips

When you're above feeling it still
Tell me it's love, tell me it's real
Touch me with a kiss
Touch me with a kiss

'Cause this is where I wanna be
Where it's so sweet and heavenly

I'm giving you all my
Giving you all my
Giving you all my love
Giving you all my
Giving you all my
Giving you all my love
All my love

And when you're far away
I still feel it all
And when you're far away
I still feel it all the same

And when you're far away
Far away

I'm giving you all my
Giving you all my
Giving you all my love
Giving you all my
Giving you all my
Giving you all my love"
3,You're the Only Good Thing in My Life,https://www.lyrics.com/lyric/36566936/Cigarettes+After+Sex/You%27re+the+Only+Good+Thing+in+My+Life,"You only f*ck for love
Told me you could never get enough
Posing as a Playboy centerfold
You could be my Penthouse Pet, I know

You make me think of
Storms on the beaches
With all the lights off

Everything is wrong, but it's alright
Everything is wrong, but it's alright
You're the only good thing in my life

Do what your heart desires
Love is always strange when it just starts
Shouldn't have a care left in the world
Naked, tanning by the swimming pool

You make me think of
Storms on the beaches
With all the lights off

Everything is wrong, but it's alright
Everything is wrong, but it's alright
You're the only good thing in my life

Laying in the sun
Never need to tell me when you come
'Cause you know that I can just feel it"
4,Touch,https://www.lyrics.com/lyric/36566935/Cigarettes+After+Sex/Touch,"Oh, I missed you and I cried
But I said that I was alright
And I know it's been a while
Since I needed a distraction

'Cause I wanna do everything
That you want me to, to tell you the truth
I need to stay alive
So sad that I could die

It's leading me on, every time we touch
Leading me on, every time it hurts
Feeling so lonely, 'cause it's not enough
Missin' you only ever since we fell in love

And I watched you do a line
That you spread out on the table
I don't need to see you wired
I just wanna see you upside down

I wanna do everything
That you want me to, to tell you the truth
I listen to you cry all night
Through the telephone

It's leading me on, every time we touch
Leading me on, every time it hurts
Feeling so lonely, 'cause it's not enough
Missin' you only ever since we fell in love

Couldn't say you didn't want me there
When we were lyin' in my bed that night
You were acting like a different person
As if, suddenly, you wanted to just be friends
I was hurting so I took a shower
So you couldn't hear me, knowing I had to cry
Sad to know that while my heart was breaking
You were sleeping or just faking

It's leading me on, every time we touch
Leading me on, every time it hurts
Feeling so lonely, 'cause it's not enough
Missin' you only ever since we fell in love"
5,Hentai,https://www.lyrics.com/lyric/36566934/Cigarettes+After+Sex/Hentai,"There was a hentai video that I saw
I told you about the night that we first made love
About a girl who, as soon as she made you come
Would show you the future and tell you your fortune

Beautiful hearts are in your eyes
I've been waiting for you to fall for me
And let me in your life
I've been waiting for you

Told you I wanted to die in an airplane crash
Over the ocean, thought it was romantic
But you didn't like it, thought it was stupid, ah
Thinking of me dead is making you feel bad

Beautiful hearts are in your eyes
I've been waiting for you to fall for me
And let me in your life
I've been waiting for you

Beautiful hearts are in your eyes
I've been waiting for you to fall for me
And let me in your life
I've been waiting for you"
6,Cry,https://www.lyrics.com/lyric/36566933/Cigarettes+After+Sex/Cry,"It's making you cry every time
You give your love to me this way
Saying you'd wait for me to stay
I know it hurts you

But I need to tell you something
My heart just can't be faithful for long
I swear I'll only make you cry

Maybe I'd change for you someday
But I can't help the way I feel
Wish I was good, wish that I could
Give you my love now

But I need to tell you something
My heart just can't be faithful for long
I swear I'll only make you cry

I need to tell you something
My heart just can't be faithful for long
I swear I'll only make you cry"
7,Falling In Love,https://www.lyrics.com/lyric/36566932/Cigarettes+After+Sex/Falling+In+Love,"When I hold you close to me
I could always see a house by the ocean
And last night I could hear the waves
As I heard you say, ""All that I want is to be yours""

Falling in love
Falling in love
Deeper than I've felt it before with you, baby
I feel I'm falling in love with all my heart

Back when you were far away
We would go on dates to watch the same movie
And you were imagining sitting next to me
And holding my hand for the whole thing

Falling in love
Falling in love
Deeper than I've felt it before with you, baby
I feel I'm falling in love with all my heart

Falling in love
Falling in love
Deeper than I've felt it before with you, baby
I feel I'm falling in love with all my heart"
8,Pure,https://www.lyrics.com/lyric/36566931/Cigarettes+After+Sex/Pure,"When you walk in the room
In a white bodysuit
And I say, ""Take it off""
So you tell me to watch

When it's pure
Only your love could get me to fall
When it's deep
Gets so hot and it's so beautiful

And the TV is on
When we make love, because
We get carried away
We don't care anyway

When it's pure
Only your love could get me to fall
When it's deep
Gets so hot and it's so beautiful

Wrapped your hair in a towel
But I watch you let it down
And it's all soaking wet
As you take me in your mouth

And we stare at the street
From the back balcony
But now all I can see
Is you undressing for me

When it's pure
Only your love could get me to fall
When it's deep
Gets so hot and it's so beautiful"
9,Falling In Love,https://www.lyrics.com/lyric/36574535/Cigarettes+After+Sex/Falling+In+Love,"When I hold you close to me
I could always see a house by the ocean
And last night I could hear the waves
As I heard you say, ""All that I want is to be yours""

Falling in love
Falling in love
Deeper than I've felt it before with you, baby
I feel I'm falling in love with all my heart

Back when you were far away
We would go on dates to watch the same movie
And you were imagining sitting next to me
And holding my hand for the whole thing

Falling in love
Falling in love
Deeper than I've felt it before with you, baby
I feel I'm falling in love with all my heart

Falling in love
Falling in love
Deeper than I've felt it before with you, baby
I feel I'm falling in love with all my heart"
